Class,Time,Amount,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7
0,162183.0,2.99,0.469860291476733,-0.664253650956778,0.16058862722594,0.15769091650294,0.8182960621092096,-0.471390438530505,0.741140604780655
0,120967.0,1.98,-0.623471529704363,0.0813259267547357,0.543171993031068,0.109355774937523,1.24813105118269,,-0.838932414903898
0,26484.0,1937.66,1.45784390466088,-0.899346659217878,-6.05939298951648,-1.78400047000727,0.48425739028028275,-4.17167182931696,1.19581469787519
0,65751.0,320.05,-0.401364927207205,-0.282105619315043,-0.583586700511732,1.3454629373615,-1.0381790940472224,0.252497196320107,-0.761357123472789
0,137025.0,11.5,0.481655826036554,-1.56843339991997,3.69952716039389,-0.296620701446627,0.6799773825334637,-0.455963937163978,0.534601931544018
0,153446.0,50.0,-0.460556573157185,-0.181961830944947,0.100726067560408,0.140933961135103,-1.0413326014650657,-1.23197301244467,-0.473973927795533
0,134293.0,36.41,0.347715978155765,-0.722339699463348,-1.70542282983299,-0.279582577407866,0.4990243463139111,1.49025791077841,-0.639360008738212
0,159424.0,2.69,-0.366225085012752,-0.0074102255213807,-0.0220265294537764,-0.174518911209904,0.19782002440084798,0.0310204810992851,-0.581227757095056
0,137894.0,213.77,-0.435889661774922,0.948090786896998,0.356405042471406,-0.375145014597216,-0.4581424214324971,0.360063854729556,0.23940213433959
0,70656.0,9.99,0.907650667819284,-0.400753512753687,-0.0965158556102721,-1.22458919527504,0.06881923895949403,-0.417176517688066,0.587595631350963
0,132400.0,20.3,0.203639781788682,0.0790810344515444,0.153709572587073,-2.00811801264065,1.2755533200001536,,-0.0988979288639922
0,103521.0,6.27,1.06183598102975,0.933348782379639,0.391874032295307,0.461189003442343,0.6030408435090009,-0.562444914109872,-1.04155584566782
0,116120.0,16.0,-0.271341033491,0.324674277790084,-0.182722074775077,-0.0952000866601573,-0.5115877559790992,0.0733865240366284,-0.723672203318997
0,48370.0,-1.0,1.31714934422344,-0.861068404576479,0.265337423282649,-0.0042353626037699,2.441939657901766,,0.358523239553401
0,122460.0,1.29,0.0631040709232831,-0.743184268173633,0.69240131275972,0.607102653449951,-1.5440362207085958,-0.219209653060925,-0.872500725296953
0,53620.0,83.08,-0.448016439461219,0.46432866713514,-0.535995406521258,0.244026037956744,1.025985998647561,,-0.284072823812308
0,78828.0,36.12,0.393479645044585,0.295852550992216,-1.10581201875123,1.12238706343347,-0.05263642086662787,0.749942849516429,-0.235122989138991
0,67417.0,2.0,0.626835050522316,-1.46379665018255,-1.0245644762028,0.542015065634248,0.37162711491925365,0.0268759538179831,0.997752240600607
0,76092.0,2.49,0.178451227850313,0.0983080119672267,0.0657523234576977,-0.710290797955389,-1.1633905324390779,-0.347608689623363,0.519743330359744
0,153652.0,-100.0,-0.116147552303182,0.737735290249803,-1.02486964449713,0.522635383253459,2.6367318323395788,,-0.768388985069977
0,35874.0,1.5,0.27207014416701,0.745063930256385,-0.157722528498611,-0.429274040298027,0.12222914758780362,-0.159600617725031,0.468884077080789
0,162854.0,13.99,-0.142702155052606,0.66716752512744,0.433729533689651,-0.659747111966203,-0.3627181020244243,0.276708492222634,0.284403728985608
0,154955.0,169.9,-0.905040381212739,0.35528901443446,0.0591802600600075,0.520577004171327,-0.6035047036425728,0.187152040656017,-0.108798977540582
0,134448.0,10.0,-0.0300929306699692,1.17320315296809,0.559735402309799,-0.713765380540691,-0.7464330568289997,0.319399888484888,0.820052933216771
0,5528.0,14.67,0.304148107463071,0.497490653887385,0.449646241517137,-0.657859159190709,-0.8657979979654441,1.00612124381463,-0.607109265073125
0,77681.0,448.47,0.177917268890337,0.754166997696653,-1.43916616705778,-1.24029795538516,-0.42226634170358673,0.524279832131878,-2.29486130600284
0,139683.0,4.16,-0.816927119602287,0.690104118449123,1.71790583589929,-0.527908653722117,1.1064798738730837,,1.02087014785076
0,52528.0,48.5,0.30622209162356,0.195643031711853,-0.657185783761479,-1.38601930302225,-0.8144337738839197,0.394996837858351,-0.25139083822144
0,65254.0,23.29,0.489434946643156,1.78485524109584,-1.32345826609207,0.418833427328349,0.8858371107106772,-0.956119616100889,-1.12566763846097
0,55696.0,4.95,0.0026685543317561,0.146736967615304,-0.0567343852002277,-0.20257870292346,0.20757138254765087,-0.037925653139633,-0.455853414198674
0,138848.0,25.35,-0.359764728903263,0.392313084171045,-0.48151023968958,0.419218212661349,-0.11775039892444321,-1.45875829067183,-0.360073838557633
0,56861.0,1.98,-0.822594657966004,-0.0872155874195052,0.807314930003284,0.504660388601551,1.1784969882253762,,-0.446371946552137
0,43558.0,476.15,0.066982331931686,0.209857742137568,-1.71453533038056,-0.492836854108742,-0.16076136871189267,-1.23973690203918,0.572438092128892
0,150691.0,2.0,-0.108652343356945,0.595594604552922,0.404390511161919,-0.725394580926143,-1.2441699309421397,0.270516835434583,0.351740474358768
0,36150.0,98.33,-0.248089747784954,0.903753059161938,-0.332521165553232,-0.0337709583497823,-0.6089259611096469,0.133488501687808,0.236020090300518
0,33375.0,144.0,-0.31315753314135,0.738477038407615,-0.351831636212536,0.0590691649220952,-0.33022609796231456,0.11858962136774,-0.353722246065984
0,65850.0,2.23,-0.247380311718346,0.564090934832152,-0.41996373480533,0.185238157631657,0.7140217448543672,-0.0502437685627321,-0.11532080180142
0,14640.0,77.23,0.803600392001995,1.09281458886415,0.0477046457931361,-0.576298492252158,-0.2868995227064837,-0.174459849483336,0.893088879554232
0,81116.0,0.92,-0.421863546252022,-0.512577912512715,-3.42829431794492,0.875762974718759,-1.686490929604305,8.40393806291367,-0.865323090380928
0,127734.0,0.77,-0.744412065578007,0.0829396732684074,0.680186299106903,-0.733410905169158,-0.9016642769514022,2.87533968557485,0.896312759005184
0,129953.0,30.0,1.38861685785578,-0.35886041265526,-0.728762183982933,-1.57548656942869,-0.5963163152661182,1.42310877738817,0.423941476926994
0,111149.0,16.99,2.13214889068144,1.23375301970153,0.61822017251188,-0.672504571798712,0.37264933831994645,-0.506213678547689,-0.663836730072391
0,54347.0,36.9,-0.342986495331054,-0.0455530710578723,-0.0491677877719284,-1.16515672014793,-2.266782169142754,0.195104245396834,-1.00030720591557
0,86503.0,68.36,-0.691798456233729,-0.412462779722813,2.15022887632917,0.19046409360938,1.2273679830762,,0.798891459442447
